Inventory ID,Description, Level-3 
PLY-PTR-170,56 Plymouth 4 Door Hardtop Package Tray Regular NO VINYL!, $ 21.90 
PLY-PTR-175,55/56 Plymouth 4 Door Sedan Package Tray Regular NO VINYL!, $ 21.90 
PLY-PTR-177,57/58 Plymouth 2 Door Sedan Package Tray Regular NO VINYL!, $ 24.10 
PLY-PTR-190,60/61 Valiant Package Tray Regular, $ 27.30 
PLY-PTR-200,62 Valiant Package Tray Regular NO VINYL!, $ 23.00 
PLY-PTR-205,62 Valiant Package Tray Regular with Vinyl/Panelboard Hinge, $ 31.60 
PLY-PTR-210,63 Belvedere Package Tray Regular with Vinyl/Panelboard Hinge, $ 32.10 
PLY-PTR-215,63/65 Valiant Signet Package Tray Regular with Vinyl/Panelboard Hinge, $ 32.60 
PLY-PTR-217,63/65 Valiant 2&4 Door Sedan Package Tray Regular with Vinyl/Panelboard Hinge, $ 32.60 
PLY-PTR-220,"63/65 Valiant 2 Door Sedan Package Tray Regular, (Panelboard) NO VINYL", $ 22.50 
PLY-PTR-225,64/65 Belvedere/Satellite Package Tray Regular with Vinyl/Panelboard Hinge, $ 30.00 
PLY-PTR-230,64/65 Belvedere 2&4 Door Sedan Package Tray Regular with Vinyl/Panelboard Hinge, $ 30.50 
PLY-PTR-235,64 Savoy 2 Door Sedan Package Tray Regular with Vinyl/Panelboard Hinge, $ 34.10 
PLY-PTR-240,66 Valiant all Models Package Tray Regular, $ 26.20 
PLY-PTR-250,67/69 Valiant 2&4 Door Sedan Package Tray Regular, $ 26.80 
PLY-PTR-260,68 Satellite 4 Door Sedan Package Tray Regular, $ 27.30 
PLY-PTR-270,69/70 Satellite 4 Door Sedan Package Tray Regular, $ 27.30 
PLY-PTR-280,71/73 Plymouth Scamp Package Tray Regular, $ 27.30 
PLY-PTR-290,73 Valiant 4 Door Sedan Package Tray Regular, $ 26.20 
PLY-PTR-300,76/80 Volare Package Tray Regular NO VINYL!, $ 26.80 
PLY-PTS-205,63 Belvedere Package Tray w/Speakers & Vinyl/Panelboard Hinge, $ 50.30 
PLY-PTS-210,63/65 Valiant Signet Package Tray w/Speakers & Vinyl/Panelboard Hinge, $ 47.10 
PLY-PTS-211,63/65 Valiant 2 Door Sedan Package Tray w/Speakers, $ 49.90 
PLY-PTS-212,63/65 Valiant 4 Door Sedan Package Tray w/Speakers & Vinyl/Panelboard Hinge, $ 47.10 
PLY-PTS-215,64/65 Belvedere Package Tray Center Speaker with Vinyl/Panelboard Hinge, $ 47.10 
PLY-PTS-220,64/65 Belvedere Package Tray w/Speakers with Vinyl/Panelboard Hinge, $ 47.40 
PLY-PTS-225,64/65 Belvedere 2&4 Door Sedan Package Tray w/Speakers & Vinyl/Panelboard Hinge, $ 47.10 
