Car Added,WooCommerce Autos DB ID,Base Car ID,Exp. Car ID,Year Min,Year Max,Parent Manufacturer,Make|Include,Model|Include,VehicleTypeName,Region|Include,Sub Model|Include,Wheelbase|Include,Transmission Type|Include,Transmission Num Speeds|Include,Transmission Control Type|Include,Transmission Mfr Code|Include,Transmission Elec Controlled|Include,Transmission Mfr|Include,Steering Type|Include,Steering System ID|Include,Front Spring Type|Include,Rear Spring Type|Include,Mfr Body Code|Include,Drive Type|Include,Liter|Include,CC|Include,CID|Include,Cylinders|Include,BInlineock Type|IncInlineude,Engine Bore In|Include,Engine Bore Metric|Include,Engine Stroke In|Include,Engine Stroke Metric|Include,Engine Designation|Include,Engine VIN|Include,Valves|Include,Fuel Delivery Type|Include,Fuel Delivery SubType|Include,Fuel System Control Type|Include,Fuel System Design|Include,Aspiration|Include,Cylinder Head Type|Include,Fuel Type|Include,Ignition System|Include,Engine Mfr|Include,Engine Version|Include,Power Output|Include,Body Num Doors|Include,Types|Include,Bed Lengths|Include,Bed Types|Include,Front|Include,Rear|Include,ABS|Include,Brake System|Include,Asset Name,Asset Item Ref,Reference,Engine Tag,Engine Human Readable
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.9L_3 Dr. Extended Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,5.9,,360,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360_V_8,360 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.2L_2 Dr. Standard Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,2 Dr. Standard Passenger Van,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_5.2L_3 Dr. Extended Passenger Van_8,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_3.7L_2 Dr. Standard Passenger Van_6,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,2 Dr. Standard Passenger Van,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1974_Plymouth_PB200 Van,1974_Plymouth_PB200 Van_3.7L_3 Dr. Extended Passenger Van_6,1974,1974,,Plymouth,PB200 Van,Van,USA,Voyager,,,,,,,,,,,,3 Dr. Extended Passenger Van,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_2.8L_4 Dr. Sedan_6,1969,1969,,Dodge,Dart,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,2.8,,170,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_6,170 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_3.7L_4 Dr. Sedan_6,1969,1969,,Dodge,Dart,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_4.5L_4 Dr. Sedan_8,1969,1969,,Dodge,Dart,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,4.5,,273,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273_V_8,273 CID V 8 
,,1969_Dodge_Dart,1969_Dodge_Dart_5.2L_4 Dr. Sedan_8,1969,1969,,Dodge,Dart,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,5.2,5211,318,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318_V_8,318 CID V 8 
,,1969_Dodge_Dart,1969_Dodge_Dart_2.8L_4 Dr. Sedan_6,1969,1969,,Dodge,Dart,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,2.8,2786,170,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_6,170 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_4.5L_4 Dr. Sedan_8,1969,1969,,Dodge,Dart,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,4.5,4473,273,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273_V_8,273 CID V 8 
,,1969_Dodge_Dart,1969_Dodge_Dart_2.8L_2 Dr. Hardtop_6,1969,1969,,Dodge,Dart,Car,CAN,Custom,,,,,,,,,,,,2 Dr. Hardtop,,2.8,,170,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_6,170 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_2.8L_4 Dr. Sedan_6,1969,1969,,Dodge,Dart,Car,CAN,Custom,,,,,,,,,,,,4 Dr. Sedan,,2.8,,170,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_6,170 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_3.7L_2 Dr. Hardtop_6,1969,1969,,Dodge,Dart,Car,CAN,Custom,,,,,,,,,,,,2 Dr. Hardtop,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_3.7L_4 Dr. Sedan_6,1969,1969,,Dodge,Dart,Car,CAN,Custom,,,,,,,,,,,,4 Dr. Sedan,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
,,1969_Dodge_Dart,1969_Dodge_Dart_4.5L_2 Dr. Hardtop_8,1969,1969,,Dodge,Dart,Car,CAN,Custom,,,,,,,,,,,,2 Dr. Hardtop,,4.5,,273,8,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273_V_8,273 CID V 8 
